3400921604696;YELLOX 0,9MG/ML COLLY FL5ML 1;MEDICAMENTS OPHTALMOLOGIQUES
3400921605068;ESOMEPRAZOLE RPG 20MG CPR 28;MEDICAMENTS POUR LES TROUBLES DE L'ACIDITE
3400921609080;AVONEX 0,03MG/0,5ML SOL INJ STYLO 4;IMMUNOSTIMULANTS
3400921610550;POLYGYNAX VIRGO CAPSULE VAGINALE 6;ANTIINFECTIEUX ET ANTISEPTIQUES A USAGE GYNECOLOGIQUE
3400921610840;NICORANDIL SDZ 20MG CPR 30;MEDICAMENTS EN CARDIOLOGIE
3400921611731;NICORANDIL SDZ 10MG CPR 30;MEDICAMENTS EN CARDIOLOGIE
3400921612790;LHRH FERRING 0,1 MG SOL INJ AMP 1;MEDICAMENTS POUR DIAGNOSTIC
3400921617535;VALSARTAN/HCTZ CRT 80/12,5MG CPR 30;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921618075;VALSARTAN/HCTZ CRT 80/12,5MG CPR 90;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921619195;VALSARTAN/HCTZ CRT 160/12,5MG CPR 30;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921619546;VALSARTAN/HCTZ CRT 160/12,5MG CPR 90;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921620726;VALSARTAN/HCTZ CRT 160/25MG CPR 30;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921621266;VALSARTAN/HCTZ CRT 160/25MG CPR 90;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921625929;LEVETIRACETAM TVC 250MG CPR 60;ANTIEPILEPTIQUES
3400921626001;LEVETIRACETAM TVC 500MG CPR 60;ANTIEPILEPTIQUES
3400921626179;LEVETIRACETAM TVC 1000MG CPR 60;ANTIEPILEPTIQUES
3400921636116;LETROZOLE CRT 2,5MG CPR 30;THERAPEUTIQUE ENDOCRINE
3400921643497;LOSARTAN HCTZ VTS 100/12,5MG CPR 28;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921644098;LOSARTAN HCTZ VTS 100/12,5MG CPR 90;MEDICAMENTS AGISSANT SUR LE SYSTEME RENINE-ANGIOTENSINE
3400921653663;DOXAZOSINE SUBSTIPHARM LP 4MG CPR 28;ANTIHYPERTENSEURS
3400921655674;DOXAZOSINE ARW LP 8MG CPR CA 28;ANTIHYPERTENSEURS
3400921656794;DOXAZOSINE SUBSTIPHARM LP 8MG CPR 28;ANTIHYPERTENSEURS
3400921658286;CLARELUX 500MCG/G MOUSS FL 1;CORTICOIDES, PREPARATIONS DERMATOLOGIQUES
3400921661477;DESOGESTREL VIATRIS SANTE 75MCG CPR 28;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE
3400921661538;DESOGESTREL VIATRIS SANTE 75MCG CPR 84;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE
3400921662078;AMOROLFINE STP 5% VERNIS MED 20SP 1;ANTIFONGIQUES A USAGE DERMATOLOGIQUE
3400921663020;AMOROLFINE CRT 5% VERNIS MED 20SP 1;ANTIFONGIQUES A USAGE DERMATOLOGIQUE
3400921672534;GLIMEPIRIDE AHL 1MG CPR 90;MEDICAMENTS DU DIABETE
3400921672763;GLIMEPIRIDE AHL 2MG CPR 90;MEDICAMENTS DU DIABETE
3400921672824;GLIMEPIRIDE AHL 3MG CPR 90;MEDICAMENTS DU DIABETE
3400921672992;GLIMEPIRIDE AHL 4MG CPR 90;MEDICAMENTS DU DIABETE
3400921673074;ALLOPURINOL ZTV 100MG CPR 28;ANTIGOUTTEUX
3400921675894;ALLOPURINOL ZTV 200MG CPR 28;ANTIGOUTTEUX
3400921676266;ALLOPURINOL ZTV 300MG CPR 28;ANTIGOUTTEUX
3400921676327;ENBREL 10 MG PDR ET SOL INJ PEDIAT 4;IMMUNOSUPPRESSEURS
3400921677447;ALLOPURINOL CRT 100MG CPR 28;ANTIGOUTTEUX
3400921678918;ALLOPURINOL CRT 200 MG CPR 28;ANTIGOUTTEUX
3400921680058;ALLOPURINOL CRT 300 MG CPR 28;ANTIGOUTTEUX
3400921686951;ATENOLOL ZEN 50MG CPR 30;BETABLOQUANTS
3400921687262;ATENOLOL ZEN 50MG CPR 90;BETABLOQUANTS
3400921687491;ALFUZOSINE CRT LP 10MG CPR 30;MEDICAMENTS UROLOGIQUES
3400921687552;TASIGNA 200MG GELULE 28;ANTINEOPLASIQUES
3400921687613;TASIGNA 200MG GELULE 112;ANTINEOPLASIQUES
3400921687781;OMNITROPE 15 MG SOL INJ 1;HORMONES HYPOPHYSAIRES, HYPOTHALAMIQUES ET ANALOGUES
3400921687842;OMNITROPE 15 MG SOL INJ 5;HORMONES HYPOPHYSAIRES, HYPOTHALAMIQUES ET ANALOGUES
3400921687903;OMNITROPE 15 MG SOL INJ 10;HORMONES HYPOPHYSAIRES, HYPOTHALAMIQUES ET ANALOGUES
3400921689914;EBASTINE TVC 10MG CPR ORODISP 30;ANTIHISTAMINIQUES A USAGE SYSTEMIQUE
3400921691924;RIZATRIPTAN EG 5MG CPR 12;ANALGESIQUES
3400921692525;RIZATRIPTAN EG 10MG CPR 12;ANALGESIQUES
3400921693065;RIZATRIPTAN EG 10MG CPR ORODISP 6;ANALGESIQUES
3400921693126;RIZATRIPTAN EG 10MG CPR ORODISP 12;ANALGESIQUES
3400921694994;ATENOLOL ZEN 100MG CPR 30;BETABLOQUANTS
3400921695137;ATENOLOL ZEN 100MG CPR 90;BETABLOQUANTS
3400921702903;MENVEO PDR ET SOL INJ 1;VACCINS
3400921709476;OVITRELLE 0,25 MG INJ STY 0,5ML 1;HORMONES SEXUELLES ET MODULATEURS DE LA FONCTION GENITALE
